Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
1,Massachusetts Institute of Technology (MIT) ,100,United States,North America,100,100,100,100,86.8,96,99.3,99,54,89.24293274,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg
2,Imperial College London,98.5,United Kingdom,Europe,98.5,93.9,98.2,99.5,99.6,97.4,100,99.7,42,78.90086953,https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-48x48.jpg
3,University of Oxford,96.9,United Kingdom,Europe,100,84.8,100,100,97.7,100,98.1,85,49,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg
4,Harvard University,96.8,United States,North America,100,100,96.3,100,69,99.6,74.1,84.4,51,89.24293274,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg
5,University of Cambridge,96.7,United Kingdom,Europe,100,84.6,100,100,94.8,99.3,100,84.8,48,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg
6,Stanford University,96.1,United States,North America,100,99,100,100,60.8,96.8,70.3,81.2,47,89.24293274,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg
7,ETH Zurich,93.9,Switzerland,Europe,98.8,97.9,65.9,87.2,98.6,95.7,100,98.8,33,93.52750603,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg
8,National University of Singapore (NUS),93.7,Singapore,Asia,99.5,93.1,68.8,91.1,88.9,91.6,100,97.7,54,91.35058971,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg
9,UCL,91.6,United Kingdom,Europe,99.5,72.2,95.9,98.3,100,99.9,99,74.8,59,78.90086953,https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-48x48.jpg
10,California Institute of Technology (Caltech),90.9,United States,North America,96.5,100,100,95.3,79.8,65.5,100,62.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg
11,University of Pennsylvania,90.3,United States,North America,96.3,74,99.8,91.9,66.2,91.9,90.9,93,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg
12,"University of California, Berkeley (UCB)",90.1,United States,North America,100,98.2,23.5,100,61,97.2,91.5,100,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg
13,The University of Melbourne,88.9,Australia,Oceania,98.5,93,15.4,93.9,99.8,97.4,95.1,99.6,54,86.09321752,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-48x48.jpg
14,Peking University,88.5,China,Asia,99.5,97.7,92.6,96.6,23.6,79.8,50.3,46.9,54,52.76973633,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg
15,"Nanyang Technological University, Singapore (NTU Singapore)",88.4,Singapore,Asia,91.9,92.4,80.6,73.3,83.5,89.4,100,95.6,54,91.35058971,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg
16,Cornell University,87.9,United States,North America,98.3,97.5,52.7,93.1,63.4,94,54.2,72.1,51,89.24293274,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg
17,The University of Hong Kong,87.6,Hong Kong,Asia,97.4,86.4,81.2,59.4,99.3,81.4,100,89.2,54,80.29230068,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg
18,The University of Sydney,87.3,Australia,Oceania,96.4,93.7,10.9,90,100,95.8,99.9,99.6,58,86.09321752,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg
19,The University of New South Wales (UNSW Sydney),87.1,Australia,Oceania,90.5,94.9,20.6,90.4,99.4,98.3,100,99.2,54,86.09321752,https://www.topuniversities.com/sites/default/files/221220094647am317557UNSW-Sydney-Logo-jpeg-48x48.jpg
20,Tsinghua University,86.5,China,Asia,99.2,99.1,95,97.7,13.4,79.2,18.1,40.4,54,52.76973633,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg
21,University of Chicago,86.2,United States,North America,99.1,60.8,94.2,96.4,87,85.1,79,46.9,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg
22,Princeton University,85.5,United States,North America,99.8,100,57,98.3,56.6,78.3,9.6,51.5,47,89.24293274,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg
23,Yale University,85.2,United States,North America,99.9,38.6,100,99.9,63.3,93.9,91.5,92.2,51,89.24293274,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg
24,Université PSL,84.7,France,Europe,74.4,87.6,98.1,97.6,65,99.8,62.3,73.4,54,77.46249131,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg
25,University of Toronto,84.1,Canada,North America,99.7,50.8,44.9,96.9,96.1,97.7,96.9,100,56,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg
